"iso3","year","social_protection_coverage","social_assistance_coverage_aspire","social_insurance_coverage_aspire","cash_transfer_coverage_aspire","pension_coverage_aspire","social_protection_adequacy_aspire","public_transfer_benefit_q1_aspire"
"BRB","2015","","","","","","",""
"BRB","2016","","","","","","",""
"BRB","2017","","","","","","",""
"BRB","2018","","","","","","",""
"BRB","2019","","","","","","",""
"BRB","2020","","","","","","",""
"BRB","2021","","","","","","",""
"BRB","2022","","","","","","",""
"BRB","2023","","","","","","",""
"BRB","2024","","","","","","",""
"BRB","2025","","","","","","",""
"CHL","1952","","","","","","",""
"CHL","1960","","","","","","",""
"CHL","1961","","","","","","",""
"CHL","1962","","","","","","",""
"CHL","1963","","","","","","",""
"CHL","1964","","","","","","",""
"CHL","1965","","","","","","",""
"CHL","1966","","","","","","",""
"CHL","1967","","","","","","",""
"CHL","1968","","","","","","",""
"CHL","1969","","","","","","",""
"CHL","1970","","","","","","",""
"CHL","1971","","","","","","",""
"CHL","1972","","","","","","",""
"CHL","1973","","","","","","",""
"CHL","1974","","","","","","",""
"CHL","1975","","","","","","",""
"CHL","1976","","","","","","",""
"CHL","1977","","","","","","",""
"CHL","1978","","","","","","",""
"CHL","1979","","","","","","",""
"CHL","1980","","","","","","",""
"CHL","1981","","","","","","",""
"CHL","1982","","","","","","",""
"CHL","1983","","","","","","",""
"CHL","1984","","","","","","",""
"CHL","1985","","","","","","",""
"CHL","1986","","","","","","",""
"CHL","1987","","","","","","",""
"CHL","1988","","","","","","",""
"CHL","1989","","","","","","",""
"CHL","1990","","","","","","",""
"CHL","1991","","","","","","",""
"CHL","1992","","","","","","",""
"CHL","1993","","","","","","",""
"CHL","1994","","","","","","",""
"CHL","1995","","","","","","",""
"CHL","1996","","","","","","",""
"CHL","1997","","","","","","",""
"CHL","1998","","","","","","",""
"CHL","1999","","","","","","",""
"CHL","2000","","","","","","",""
"CHL","2001","","","","","","",""
"CHL","2002","","","","","","",""
"CHL","2003","","","","","","",""
"CHL","2004","","","","","","",""
"CHL","2005","","","","","","",""
"CHL","2006","89.68931195953672","76.94376632799448","31.879755389310944","26.3538608482712","25.30236719589421","18.72133801942193","7.932548132002822"
"CHL","2007","","","","","","",""
"CHL","2008","","","","","","",""
"CHL","2009","90.44321191104542","77.89654458564459","41.25616161456958","44.68379395724553","23.870653301637308","17.53799939244709","9.974701612185088"
"CHL","2010","","","","","","",""
"CHL","2011","83.43314396254902","77.42602283410554","23.640442035134672","20.2946439164761","21.123625415635043","18.123807450018145","9.76678923515543"
"CHL","2012","","","","","","",""
"CHL","2013","88.54116212147619","74.69485687211701","44.39474766585903","33.20327177721655","19.72570945735235","18.76027490993489","9.461883642768514"
"CHL","2014","","","","","","",""
"CHL","2015","87.72247426631937","71.56242274338594","44.91270209128679","34.80123027825448","17.814624979310622","15.262223559482202","7.592698138410513"
"CHL","2016","","","","","","",""
"CHL","2017","92.41743129360728","82.6494059814729","46.26069861043917","34.79054765232325","23.80715973820837","17.76240338620386","9.186092652441392"
"CHL","2018","","","","","","",""
"CHL","2019","","","","","","",""
"CHL","2020","77.74088598696862","63.400443887198335","43.47488200952567","53.62960645721401","23.607176063712224","23.70384953857362","11.074381176676464"
"CHL","2021","","","","","","",""
"CHL","2022","85.58610474921852","78.22015036320022","45.46549279295471","31.072772054701904","23.11142265992592","28.273608794216297","9.98296128871161"
"CHL","2023","","","","","","",""
"CHL","2024","","","","","","",""
"CHL","2025","","","","","","",""
"COL","1951","","","","","","",""
"COL","1960","","","","","","",""
"COL","1961","","","","","","",""
"COL","1962","","","","","","",""
"COL","1963","","","","","","",""
"COL","1964","","","","","","",""
"COL","1965","","","","","","",""
"COL","1966","","","","","","",""
"COL","1967","","","","","","",""
"COL","1968","","","","","","",""
"COL","1969","","","","","","",""
"COL","1970","","","","","","",""
"COL","1971","","","","","","",""
"COL","1972","","","","","","",""
"COL","1973","","","","","","",""
"COL","1974","","","","","","",""
"COL","1975","","","","","","",""
"COL","1976","","","","","","",""
"COL","1977","","","","","","",""
"COL","1978","","","","","","",""
"COL","1979","","","","","","",""
"COL","1980","","","","","","",""
"COL","1981","","","","","","",""
"COL","1982","","","","","","",""
"COL","1983","","","","","","",""
"COL","1984","","","","","","",""
"COL","1985","","","","","","",""
"COL","1986","","","","","","",""
"COL","1987","","","","","","",""
"COL","1988","","","","","","",""
"COL","1989","","","","","","",""
"COL","1990","","","","","","",""
"COL","1991","","","","","","",""
"COL","1992","","","","","","",""
"COL","1993","","","","","","",""
"COL","1994","","","","","","",""
"COL","1995","","","","","","",""
"COL","1996","","","","","","",""
"COL","1997","","","","","","",""
"COL","1998","","","","","","",""
"COL","1999","","","","","","",""
"COL","2000","","","","","","",""
"COL","2001","","","","","","",""
"COL","2002","","","","","","",""
"COL","2003","","","","","","",""
"COL","2004","","","","","","",""
"COL","2005","","","","","","",""
"COL","2006","","","","","","",""
"COL","2007","","","","","","",""
"COL","2008","","","","","","",""
"COL","2009","","","","","","",""
"COL","2010","52.303389936501134","44.79681222486125","9.9349438896222","0.9259775728532116","9.9349438896222","18.82890174952554","3.802902656392957"
"COL","2011","51.59690511188665","43.98663280324329","9.61440839914004","1.313639031031043","9.61440839914004","16.93900853005854","3.015608290037816"
"COL","2012","48.86409617093772","41.70569877510377","8.897964930364044","0.8518857748494477","8.897964930364044","19.40219345596429","2.8359493093273613"
"COL","2013","","","","","","",""
"COL","2014","65.67668140249768","59.250742181647","9.2703176583432","0.835709763420218","9.2703176583432","25.29684651117925","2.9874956864853788"
"COL","2015","36.25845193849383","26.35351061943648","10.657357197630258","","10.657357197630258","28.31695156431523","3.5773684691926926"
"COL","2016","34.44578212347652","24.37731180477312","10.757199445122192","1.5931448184203507","10.757199445122192","29.621224699391878","3.155300422746284"
"COL","2017","33.62927684746593","23.721717309955302","10.450635556439302","2.0853304827238404","10.450635556439302","27.91689562621344","0.4836323350731359"
"COL","2018","32.53500693888912","22.316352300794584","10.73055520510661","1.9610605526710627","10.73055520510661","29.17375854211675","0.4695516157252483"
"COL","2019","31.535999639393065","21.29097899065675","10.813519453341604","1.5930699638730912","10.813519453341604","30.19098842081908","0.3970863698153264"
"COL","2020","31.810316783793063","20.90837785501731","11.71756935240745","6.658623439284442","11.71756935240745","36.92844117182699","1.824931485887012"
"COL","2021","41.45667732296547","32.26612326527661","10.382066169899003","16.418466381676495","10.382066169899003","26.14276649670113","0.8528833918920292"
"COL","2022","40.982231793662535","31.40792360517989","10.56511281001622","19.225974329196998","10.56511281001622","25.34240654129335","0.4054682790275236"
"COL","2023","","","","","","",""
"COL","2024","","","","","","",""
"COL","2025","","","","","","",""
"CRI","1960","","","","","","",""
"CRI","1961","","","","","","",""
"CRI","1962","","","","","","",""
"CRI","1963","","","","","","",""
"CRI","1964","","","","","","",""
"CRI","1965","","","","","","",""
"CRI","1966","","","","","","",""
"CRI","1967","","","","","","",""
"CRI","1968","","","","","","",""
"CRI","1969","","","","","","",""
"CRI","1970","","","","","","",""
"CRI","1971","","","","","","",""
"CRI","1972","","","","","","",""
"CRI","1973","","","","","","",""
"CRI","1974","","","","","","",""
"CRI","1975","","","","","","",""
"CRI","1976","","","","","","",""
"CRI","1977","","","","","","",""
"CRI","1978","","","","","","",""
"CRI","1979","","","","","","",""
"CRI","1980","","","","","","",""
"CRI","1981","","","","","","",""
"CRI","1982","","","","","","",""
"CRI","1983","","","","","","",""
"CRI","1984","","","","","","",""
