model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,se_type
Model 9 - Regional Heterogeneity,region_lac::Mexico:labor_informality,1.7779987919783546,0.599174525447318,2.9674138610131617,0.009587908480065601,0.6036167221016113,2.952380861855098,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Southern Cone:labor_informality,0.30070996794453103,0.07260291433230995,4.141844314515461,8.693521280249895e-4,0.15840825585320353,0.44301168003585856,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Caribbean:social_protection_coverage,-0.13835868297166523,0.04882988819713336,-2.83348350938448,0.01257969426243857,-0.2340652638380466,-0.04265210210528385,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Central America:social_protection_coverage,-0.08921921675204861,0.0805157972956194,-1.1080957991942126,0.28527262396588243,-0.24703017945146263,0.06859174594736542,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Mercosur:social_protection_coverage,-0.17497732220924697,0.08165235858239653,-2.142954903533802,0.04892344253745409,-0.33501594503074417,-0.014938699387749776,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Mexico:social_protection_coverage,-0.1962664885552417,0.08352627585531465,-2.3497574451328007,0.0328936822115784,-0.3599779892316584,-0.03255498787882499,country-clustered
Model 9 - Regional Heterogeneity,region_lac::Southern Cone:social_protection_coverage,-0.39028974564918983,0.14647423240905602,-2.664562491505226,0.017669372304632898,-0.6773792411709396,-0.10320025012744005,country-clustered
Model 9 - Regional Heterogeneity,log_gdp_per_capita,-31.42493542006037,8.636442607091162,-3.638643461169783,0.002425656653029826,-48.35236292995904,-14.49750791016169,country-clustered
Model 9 - Regional Heterogeneity,gini,0.6773789154426837,0.2341880471122182,2.892457253030072,0.011164115638962031,0.21837034310273606,1.1363874877826312,country-clustered
Model 9 - Regional Heterogeneity,unemployment,0.5897294833438982,0.29218313965265036,2.0183556246434113,0.06180472983595714,0.017050529624703548,1.162408437063093,country-clustered
Model 10a - Lagged Variables Robustness,labor_informality_lag1,0.08271255934299351,0.071114987245627,1.16308196832419,0.26423796636248736,-0.056672815658435405,0.22209793434442243,country-clustered
Model 10a - Lagged Variables Robustness,social_protection_lag1,-0.10886806160567052,0.05467466191337763,-1.9911977101596492,0.06634328812952464,-0.21603039895589066,-0.001705724255450361,country-clustered
Model 10a - Lagged Variables Robustness,log_gdp_per_capita,-37.86403252908083,12.242884327133158,-3.092737913496829,0.007946181116528995,-61.86008581026182,-13.867979247899843,country-clustered
Model 10a - Lagged Variables Robustness,gini,-0.33173078223068697,0.7886153279167785,-0.4206496760682974,0.6803964781527387,-1.8774168249475727,1.2139552604861987,country-clustered
Model 10a - Lagged Variables Robustness,unemployment,1.3176610354594627,0.6988720350862674,1.8854110184803905,0.08029894417636214,-0.052128153309621394,2.687450224228547,country-clustered
Model 10b - Extreme Poverty Robustness,labor_informality,-8.704683666791169e-4,0.0417972947097589,-0.02082594992627306,0.983659005338996,-0.08279316599780656,0.08105222926444833,country-clustered
Model 10b - Extreme Poverty Robustness,social_protection_coverage,-0.04993792318338214,0.014618856632465786,-3.4159937701611502,0.0038300015650325355,-0.07859088218301508,-0.0212849641837492,country-clustered
Model 10b - Extreme Poverty Robustness,log_gdp_per_capita,-4.559727710624812,2.9427256586744317,-1.549491267452627,0.14210164727197105,-10.327470001626697,1.2080145803770739,country-clustered
Model 10b - Extreme Poverty Robustness,gini,0.3332062858058892,0.07818299138418681,4.261876910906776,6.82203581184202e-4,0.17996762269288302,0.48644494891889534,country-clustered
Model 10b - Extreme Poverty Robustness,unemployment,0.24906308408262265,0.09305958196354984,2.6763830099750203,0.017256317626166442,0.06666630343406496,0.43145986473118036,country-clustered
Model 10c - Alternative Informality Robustness,informality_social_protection_equity,0.15760121525865478,0.15807694293228172,0.9969905309098067,0.34228175361829793,-0.15222959288861737,0.46743202340592693,country-clustered
Model 10c - Alternative Informality Robustness,social_protection_coverage,-0.09041463234336075,0.05783615674693377,-1.5632890812398967,0.14904971551886273,-0.20377349956735094,0.02294423488062944,country-clustered
Model 10c - Alternative Informality Robustness,log_gdp_per_capita,-20.116648221127317,22.57980975555364,-0.8909130962088601,0.3939060367160182,-64.37307534201246,24.139778899757818,country-clustered
Model 10c - Alternative Informality Robustness,gini,0.4032546316464585,0.30369631627141375,1.3278219393549355,0.2137479912375196,-0.19199014824551242,0.9984994115384294,country-clustered
Model 10c - Alternative Informality Robustness,unemployment,0.6698207232289958,0.36173755008503194,1.8516759542147176,0.09378705290990595,-0.03918487493766687,1.3788263213956584,country-clustered
