asset_id,asset_type,name,location,root,relative_path,top_folder,subfolder,extension,size_mb,modified,possible_role
A2162,documentation,Sources_SEA.pdf,sources/part_ii\21_ADB MRIO\raw_unzipped\Sources_SEA.pdf,sources/part_ii,21_ADB MRIO/raw_unzipped/Sources_SEA.pdf,21_ADB MRIO,raw_unzipped,.pdf,0.926,2026-06-14,methodological_documentation
A2183,script,PanelData_BCB_country-year_Codex.R,sources/part_ii\22_BCB\PanelData_BCB_country-year_Codex.R,sources/part_ii,22_BCB/PanelData_BCB_country-year_Codex.R,22_BCB,PanelData_BCB_country-year_Codex.R,.r,0.002,2026-06-19,existing_processing_script
A2185,script,PanelData_UMichigan_country-year+a.R,sources/part_ii\23_U.Michigan\PanelData_UMichigan_country-year+a.R,sources/part_ii,23_U.Michigan/PanelData_UMichigan_country-year+a.R,23_U.Michigan,PanelData_UMichigan_country-year+a.R,.r,0.014,2026-06-19,existing_processing_script
A2186,script,PanelData_UMichigan_country-year_Codex.R,sources/part_ii\23_U.Michigan\PanelData_UMichigan_country-year_Codex.R,sources/part_ii,23_U.Michigan/PanelData_UMichigan_country-year_Codex.R,23_U.Michigan,PanelData_UMichigan_country-year_Codex.R,.r,0.002,2026-06-19,existing_processing_script
A2216,script,PanelData_CEPAL_country-year.R,sources/part_ii\24_CEPAL\PanelData_CEPAL_country-year.R,sources/part_ii,24_CEPAL/PanelData_CEPAL_country-year.R,24_CEPAL,PanelData_CEPAL_country-year.R,.r,0.006,2026-06-12,existing_processing_script
A2217,script,PanelData_CEPAL_country-year_adaptado.R,sources/part_ii\24_CEPAL\PanelData_CEPAL_country-year_adaptado.R,sources/part_ii,24_CEPAL/PanelData_CEPAL_country-year_adaptado.R,24_CEPAL,PanelData_CEPAL_country-year_adaptado.R,.r,0.021,2026-06-19,existing_processing_script
A2224,script,PanelData_CensoAgro2013_country-disaggregation-year_Codex.py,sources/part_ii\26_CENSO AGROP_2013\PanelData_CensoAgro2013_country-disaggregation-year_Codex.py,sources/part_ii,26_CENSO AGROP_2013/PanelData_CensoAgro2013_country-disaggregation-year_Codex.py,26_CENSO AGROP_2013,PanelData_CensoAgro2013_country-disaggregation-year_Codex.py,.py,0.005,2026-06-19,existing_processing_script
A2247,script,PanelData_EM-DATA_country-year.R,sources/part_ii\27_EM-DATA\PanelData_EM-DATA_country-year.R,sources/part_ii,27_EM-DATA/PanelData_EM-DATA_country-year.R,27_EM-DATA,PanelData_EM-DATA_country-year.R,.r,0.006,2026-06-12,existing_processing_script
A2248,script,PanelData_EMDATA_country_year_COMPLETO_CORREGIDO.R,sources/part_ii\27_EM-DATA\PanelData_EMDATA_country_year_COMPLETO_CORREGIDO.R,sources/part_ii,27_EM-DATA/PanelData_EMDATA_country_year_COMPLETO_CORREGIDO.R,27_EM-DATA,PanelData_EMDATA_country_year_COMPLETO_CORREGIDO.R,.r,0.027,2026-06-19,existing_processing_script
A2271,script,PanelData_EquityLab_country-year.R,sources/part_ii\28_Equity Lab\PanelData_EquityLab_country-year.R,sources/part_ii,28_Equity Lab/PanelData_EquityLab_country-year.R,28_Equity Lab,PanelData_EquityLab_country-year.R,.r,0.009,2026-06-12,existing_processing_script
A2272,script,PanelData_EquityLab_country-year_COMPLETO.R,sources/part_ii\28_Equity Lab\PanelData_EquityLab_country-year_COMPLETO.R,sources/part_ii,28_Equity Lab/PanelData_EquityLab_country-year_COMPLETO.R,28_Equity Lab,PanelData_EquityLab_country-year_COMPLETO.R,.r,0.023,2026-06-19,existing_processing_script
A2273,documentation,129298-7-8-2018-17-29-37-AfrodescendantsinLatinAmerica.pdf,sources/part_ii\28_Equity Lab\raw_unzipped\129298-7-8-2018-17-29-37-AfrodescendantsinLatinAmerica.pdf,sources/part_ii,28_Equity Lab/raw_unzipped/129298-7-8-2018-17-29-37-AfrodescendantsinLatinAmerica.pdf,28_Equity Lab,raw_unzipped,.pdf,8.425,2026-06-19,methodological_documentation
A2339,script,PanelData_FAOSTAT_country-year.R,sources/part_ii\29_FAOSTAT\PanelData_FAOSTAT_country-year.R,sources/part_ii,29_FAOSTAT/PanelData_FAOSTAT_country-year.R,29_FAOSTAT,PanelData_FAOSTAT_country-year.R,.r,0.008,2026-06-12,existing_processing_script
A2340,script,PanelData_FAOSTAT_country-year_adaptado_v2.R,sources/part_ii\29_FAOSTAT\PanelData_FAOSTAT_country-year_adaptado_v2.R,sources/part_ii,29_FAOSTAT/PanelData_FAOSTAT_country-year_adaptado_v2.R,29_FAOSTAT,PanelData_FAOSTAT_country-year_adaptado_v2.R,.r,0.024,2026-06-19,existing_processing_script
A2356,script,PanelData_FRED_country-year.R,sources/part_ii\30_FRED\PanelData_FRED_country-year.R,sources/part_ii,30_FRED/PanelData_FRED_country-year.R,30_FRED,PanelData_FRED_country-year.R,.r,0.003,2026-06-12,existing_processing_script
A2357,script,PanelData_FRED_country-year_corregido.R,sources/part_ii\30_FRED\PanelData_FRED_country-year_corregido.R,sources/part_ii,30_FRED/PanelData_FRED_country-year_corregido.R,30_FRED,PanelData_FRED_country-year_corregido.R,.r,0.017,2026-06-19,existing_processing_script
A2374,script,PanelData_HCP_country-year.R,sources/part_ii\31_HCP\PanelData_HCP_country-year.R,sources/part_ii,31_HCP/PanelData_HCP_country-year.R,31_HCP,PanelData_HCP_country-year.R,.r,0.004,2026-06-12,existing_processing_script
A2375,script,PanelData_HCP_country-year_CORREGIDO.R,sources/part_ii\31_HCP\PanelData_HCP_country-year_CORREGIDO.R,sources/part_ii,31_HCP/PanelData_HCP_country-year_CORREGIDO.R,31_HCP,PanelData_HCP_country-year_CORREGIDO.R,.r,0.014,2026-06-19,existing_processing_script
A2396,script,PanelData_HDDC_country-year.R,sources/part_ii\32_HDDC\PanelData_HDDC_country-year.R,sources/part_ii,32_HDDC/PanelData_HDDC_country-year.R,32_HDDC,PanelData_HDDC_country-year.R,.r,0.006,2026-06-12,existing_processing_script
A2397,script,PanelData_HDDC_country-year_CORREGIDO.R,sources/part_ii\32_HDDC\PanelData_HDDC_country-year_CORREGIDO.R,sources/part_ii,32_HDDC/PanelData_HDDC_country-year_CORREGIDO.R,32_HDDC,PanelData_HDDC_country-year_CORREGIDO.R,.r,0.016,2026-06-19,existing_processing_script
A2408,script,PanelData_ILOSTAT_country-year.R,sources/part_ii\33_ILOSTAT\PanelData_ILOSTAT_country-year.R,sources/part_ii,33_ILOSTAT/PanelData_ILOSTAT_country-year.R,33_ILOSTAT,PanelData_ILOSTAT_country-year.R,.r,0.012,2026-06-12,existing_processing_script
A2409,script,PanelData_ILOSTAT_country-year_adaptado.R,sources/part_ii\33_ILOSTAT\PanelData_ILOSTAT_country-year_adaptado.R,sources/part_ii,33_ILOSTAT/PanelData_ILOSTAT_country-year_adaptado.R,33_ILOSTAT,PanelData_ILOSTAT_country-year_adaptado.R,.r,0.025,2026-06-19,existing_processing_script
A2463,script,PanelData_SEDLAC_country-year.R,sources/part_ii\34_SEDLAC\PanelData_SEDLAC_country-year.R,sources/part_ii,34_SEDLAC/PanelData_SEDLAC_country-year.R,34_SEDLAC,PanelData_SEDLAC_country-year.R,.r,0.01,2026-06-12,existing_processing_script
A2464,script,PanelData_SEDLAC_country-year_CORREGIDO.R,sources/part_ii\34_SEDLAC\PanelData_SEDLAC_country-year_CORREGIDO.R,sources/part_ii,34_SEDLAC/PanelData_SEDLAC_country-year_CORREGIDO.R,34_SEDLAC,PanelData_SEDLAC_country-year_CORREGIDO.R,.r,0.024,2026-06-19,existing_processing_script
A2465,documentation,LPI Methodology.pdf,sources/part_ii\35_LPI\LPI Methodology.pdf,sources/part_ii,35_LPI/LPI Methodology.pdf,35_LPI,LPI Methodology.pdf,.pdf,0.15,2026-06-09,methodological_documentation
A2489,script,PanelData_LPI_country-year.R,sources/part_ii\35_LPI\PanelData_LPI_country-year.R,sources/part_ii,35_LPI/PanelData_LPI_country-year.R,35_LPI,PanelData_LPI_country-year.R,.r,0.008,2026-06-12,existing_processing_script
A2490,script,PanelData_LPI_country-year_adaptado.R,sources/part_ii\35_LPI\PanelData_LPI_country-year_adaptado.R,sources/part_ii,35_LPI/PanelData_LPI_country-year_adaptado.R,35_LPI,PanelData_LPI_country-year_adaptado.R,.r,0.022,2026-06-19,existing_processing_script
A2514,script,PanelData_MinEconomia_Bolivia_country-beneficiary-year_Codex.R,sources/part_ii\36_Ministerio Economia Bolivia\PanelData_MinEconomia_Bolivia_country-beneficiary-year_Codex.R,sources/part_ii,36_Ministerio Economia Bolivia/PanelData_MinEconomia_Bolivia_country-beneficiary-year_Codex.R,36_Ministerio Economia Bolivia,PanelData_MinEconomia_Bolivia_country-beneficiary-year_Codex.R,.r,0.002,2026-06-19,existing_processing_script
A2515,documentation,SPNFGOBEMP2017-BCB_29.08.18_FINAL.pdf,sources/part_ii\36_Ministerio Economia Bolivia\SPNFGOBEMP2017-BCB_29.08.18_FINAL.pdf,sources/part_ii,36_Ministerio Economia Bolivia/SPNFGOBEMP2017-BCB_29.08.18_FINAL.pdf,36_Ministerio Economia Bolivia,SPNFGOBEMP2017-BCB_29.08.18_FINAL.pdf,.pdf,0.276,2026-06-09,methodological_documentation
A2624,script,PanelData_MinEducacion_Bolivia_country-disaggregation-year_Codex.R,sources/part_ii\37_Ministerio Educacion Bolivia\PanelData_MinEducacion_Bolivia_country-disaggregation-year_Codex.R,sources/part_ii,37_Ministerio Educacion Bolivia/PanelData_MinEducacion_Bolivia_country-disaggregation-year_Codex.R,37_Ministerio Educacion Bolivia,PanelData_MinEducacion_Bolivia_country-disaggregation-year_Codex.R,.r,0.002,2026-06-19,existing_processing_script
A2627,script,PanelData_MinTrabajo_Bolivia_country-year_Codex.R,sources/part_ii\38_Ministerio Trabajo Bolivia\PanelData_MinTrabajo_Bolivia_country-year_Codex.R,sources/part_ii,38_Ministerio Trabajo Bolivia/PanelData_MinTrabajo_Bolivia_country-year_Codex.R,38_Ministerio Trabajo Bolivia,PanelData_MinTrabajo_Bolivia_country-year_Codex.R,.r,0.001,2026-06-19,existing_processing_script
A2628,documentation,5f07c754-en (1).pdf,sources/part_ii\39_UNESCO\Data_base\5f07c754-en (1).pdf,sources/part_ii,39_UNESCO/Data_base/5f07c754-en (1).pdf,39_UNESCO,Data_base,.pdf,6.227,2026-06-11,methodological_documentation
A2629,documentation,5f07c754-en.pdf,sources/part_ii\39_UNESCO\Data_base\5f07c754-en.pdf,sources/part_ii,39_UNESCO/Data_base/5f07c754-en.pdf,39_UNESCO,Data_base,.pdf,6.227,2026-06-11,methodological_documentation
A2630,script,codigo_tarea_gamlp_monica.py,sources/part_ii\39_UNESCO\Data_base\codigo_tarea_gamlp_monica.py,sources/part_ii,39_UNESCO/Data_base/codigo_tarea_gamlp_monica.py,39_UNESCO,Data_base,.py,0.012,2026-06-11,existing_processing_script
A2631,documentation,Comp_ICT06_Dec07.doc,sources/part_ii\39_UNESCO\Data_base\Comp_ICT06_Dec07.doc,sources/part_ii,39_UNESCO/Data_base/Comp_ICT06_Dec07.doc,39_UNESCO,Data_base,.doc,0.995,2026-06-09,methodological_documentation
A2632,documentation,PISA 2018 Technical report - chapter 14.pdf,sources/part_ii\39_UNESCO\Data_base\PISA 2018 Technical report - chapter 14.pdf,sources/part_ii,39_UNESCO/Data_base/PISA 2018 Technical report - chapter 14.pdf,39_UNESCO,Data_base,.pdf,0.793,2026-06-11,methodological_documentation
A2651,documentation,PISA2018 Aneex K TechReport.pdf,sources/part_ii\39_UNESCO\Data_base\PISA2018 Aneex K TechReport.pdf,sources/part_ii,39_UNESCO/Data_base/PISA2018 Aneex K TechReport.pdf,39_UNESCO,Data_base,.pdf,0.787,2026-06-11,methodological_documentation
A2665,script,PanelData_UNESCO_country-year.R,sources/part_ii\39_UNESCO\PanelData_UNESCO_country-year.R,sources/part_ii,39_UNESCO/PanelData_UNESCO_country-year.R,39_UNESCO,PanelData_UNESCO_country-year.R,.r,0.009,2026-06-19,existing_processing_script
